NAIC,Unnamed: 0,Unnamed: 1,Illinois,Unnamed: 2,Illinois.1,Illinois.2,Illinois.3,"NAICCompanyCode",Company Name,Domicile,"IllinoisDirect PremiumsWritten","IllinoisMarket Share","IllinoisDirect PremiumsEarned","IllinoisDirect LossesIncurred","IllinoisPure Direct LossRatio"
,,,,,,,,20397.0,Vigilant Ins Co,NY,"$421,969",0.01%,"$401,978","$1,034,496",257.35%
,,,,,,,,19100.0,Amco Ins Co,IA,"$404,478",0.01%,"$446,403","$36,951",8.28%
,,,,,,,,34940.0,Omni Ind Co,IL,"$401,565",0.01%,"$505,383","$173,935",34.42%
,,,,,,,,16461.0,Noblr Recip Exch,TX,"$401,165",0.01%,"$394,576","$568,761",144.14%
,,,,,,,,19682.0,Hartford Fire Ins Co,CT,"$381,632",0.01%,"$412,006","-$223,760",-54.31%
,,,,,,,,23574.0,Midwest Family Mut Ins Co,IA,"$369,906",0.01%,"$346,378","$242,623",70.05%
,,,,,,,,22926.0,Economy Fire & Cas Co,IL,"$365,066",0.01%,"$386,896","$262,319",67.80%
,,,,,,,,21164.0,Dairyland Ins Co,WI,"$361,075",0.01%,"$378,535","$30,534",8.07%
,,,,,,,,24112.0,Westfield Ins Co,OH,"$349,589",0.01%,"$372,087","$163,277",43.88%
,,,,,,,,40371.0,Columbia Mut Ins Co,MO,"$294,403",0.01%,"$325,263","$37,182",11.43%
,,,,,,,,20346.0,Pacific Ind Co,DE,"$260,209",0.00%,"$241,678","$48,647",20.13%
,,,,,,,,12287.0,Amica Prop & Cas Ins Co,RI,"$247,133",0.00%,"$269,063","$145,822",54.20%
,,,,,,,,30104.0,Hartford Underwriters Ins Co,CT,"$212,766",0.00%,"$224,688","$11,298",5.03%
,,,,,,,,25180.0,Stillwater Ins Co,CA,"$194,971",0.00%,"$247,770","$7,801",3.15%
,,,,,,,,23043.0,Liberty Mut Ins Co,MA,"$183,626",0.00%,"$294,758","$51,866",17.60%
,,,,,,,,22543.0,Secura Ins Co,WI,"$145,861",0.00%,"$173,295","$48,102",27.76%
,,,,,,,,24228.0,Pekin Ins Co,IL,"$141,177",0.00%,"$169,537","$289,458",170.73%
,,,,,,,,11800.0,Foremost Prop & Cas Ins Co,MI,"$135,815",0.00%,"$140,438","$20,661",14.71%
,,,,,,,,26298.0,Farmers Prop & Cas Ins Co,RI,"$132,338",0.00%,"$138,321","$38,578",27.89%
,,,,,,,,28932.0,Markel Amer Ins Co,VA,"$117,245",0.00%,"$120,179","$21,929",18.25%
